vid,name,Site,Groupe,prefix,Entité,status,Rôle,description,IDENTIFIANT,Groupe de locataires,Rôle Q-in-Q,SVLAN Q-in-Q,Commentaires,Étiquettes,L2VPN,Créé,Dernière mise à jour
406,VLAN_IMI_EDUROAM,,,192.168.166.0/24,,Active,,Eduroam,135,,,,,,,2025-05-28T12:58:08.275115+00:00,2025-06-02T14:55:24.015901+00:00
407,VLAN_IMI_CTRL_ACCES,,,,,Active,,Contrôle d'accès,317,,,,,,,2025-06-02T14:55:59.799384+00:00,2025-06-02T14:55:59.799396+00:00
501,CROUS_BACKUP_MGMT,,,,,Active,,CROUS - Management Backups,145,,,,,,,2025-05-28T12:58:08.496313+00:00,2025-06-02T14:57:50.434842+00:00
800,PUBLIC,,,,,Active,,Reseaux Public et Externe,147,,,,,,,2025-05-28T12:58:08.550327+00:00,2025-06-02T14:58:35.832360+00:00
801,FWSM_OUTSIDE,,,,,Active,,Interconnexion FWSM-C7600RRTP,148,,,,,,,2025-05-28T12:58:08.567128+00:00,2025-06-02T14:59:08.352125+00:00
802,CROUS,,,,,Active,,CROUS (Non routé),149,,,,,,,2025-05-28T12:58:08.582389+00:00,2025-06-02T14:59:28.358398+00:00
916,VRF_DSI_INTERCO_CSR,,,192.168.9.128/29,,Active,,Interconnexion CSR1000v / VRF DSI,158,,,,,,,2025-05-28T12:58:08.777837+00:00,2025-06-02T15:01:39.819216+00:00
917,VRF_PERS_INTERCO_CSR,,,192.168.9.136/29,,Active,,Interconnexion CSR1000v / VRF PERS,159,,,,,,,2025-05-28T12:58:08.794471+00:00,2025-06-02T15:02:00.932605+00:00
918,VRF_ETU_INTERCO_CSR,,,192.168.9.144/29,,Active,,Interconnexion CSR1000v / VRF ETU,160,,,,,,,2025-05-28T12:58:08.815772+00:00,2025-06-02T15:02:28.915939+00:00
919,VRF_GUEST_INTERCO_CSR,,,192.168.9.152/29,,Active,,Interconnexion CSR1000v / VRF GUEST,161,,,,,,,2025-05-28T12:58:08.846154+00:00,2025-06-02T15:02:51.192181+00:00
920,VRF_VOICE_INTERCO_CSR,,,192.168.9.160/29,,Active,,Interconnexion CSR1000v / VRF VOICE,162,,,,,,,2025-05-28T12:58:08.861968+00:00,2025-06-02T15:03:15.560278+00:00
921,VRF_CTRL_ACCES_INTERCO_CSR,,,192.168.9.168/29,,Active,,Interconnexion CSR1000v / VRF Contrôle d'accès,163,,,,,,,2025-05-28T12:58:08.877705+00:00,2025-06-02T15:03:55.236842+00:00
922,VRF_MAINTENANCE_INTERCO_CSR,,,192.168.9.176/29,,Active,,Interconnexion CSR1000v / VRF Maintenance,164,,,,,,,2025-05-28T12:58:08.897314+00:00,2025-06-02T15:04:18.038853+00:00
923,VRF_NOTRUST_INTERCO_OVPN,,,192.168.9.184/29,,Active,,Interconnexion OpenVPN VRF Notrust,165,,,,,,,2025-05-28T12:58:08.942908+00:00,2025-06-02T15:04:38.888062+00:00
964,CSR_REMOTE_ADM,,,192.168.250.0/30,,Active,,Administration sites distants,166,,,,,,,2025-05-28T12:58:08.959465+00:00,2025-06-02T15:05:12.793762+00:00
965,CSR_VPN_SU,,,,,Active,,Interconnexion VPN Sorbonne Universités,167,,,,,,,2025-05-28T12:58:08.976938+00:00,2025-06-02T15:05:37.427278+00:00
966,CSR_VPN_USERS,,,,,Active,,Interconnexion utilisateurs VPN,168,,,,,,,2025-05-28T12:58:08.994261+00:00,2025-06-02T15:05:59.397743+00:00
999,TRASH,,,,,Active,,Trash/Default VLAN,171,,,,,,,2025-05-28T12:58:09.072015+00:00,2025-06-02T15:07:09.621097+00:00
